Child's First Name,Summation of Counts,Ethnicity
Ahmed,60,ASIAN AND PACIFIC ISLANDER
Ahmed,20,BLACK NON HISPANIC
Ahmed,122,WHITE NON HISPANIC
Ahnaf,44,ASIAN AND PACIFIC ISLANDER
Ahuva,80,WHITE NON HISPANIC
Aicha,72,BLACK NON HISPANIC
Aidan,108,ASIAN AND PACIFIC ISLANDER
Aidan,62,BLACK NON HISPANIC
Aidan,112,HISPANIC
Aidan,130,WHITE NON HISPANIC
Aiden,496,ASIAN AND PACIFIC ISLANDER
Aiden,508,BLACK NON HISPANIC
Aiden,694,HISPANIC
Aiden,290,WHITE NON HISPANIC
Aileen,72,HISPANIC
Aimee,26,HISPANIC
Aisha,72,ASIAN AND PACIFIC ISLANDER
Aisha,72,BLACK NON HISPANIC
Aisha,48,WHITE NON HISPANIC
Aissata,20,BLACK NON HISPANIC
Aissatou,54,BLACK NON HISPANIC
Aiza,38,ASIAN AND PACIFIC ISLANDER
Akiva,104,WHITE NON HISPANIC
Alan,104,ASIAN AND PACIFIC ISLANDER
Alan,250,HISPANIC
Alan,74,WHITE NON HISPANIC
Alana,64,BLACK NON HISPANIC
Alana,68,HISPANIC
Alani,24,HISPANIC
Alanis,74,HISPANIC
Alanna,24,HISPANIC
Albert,84,ASIAN AND PACIFIC ISLANDER
Albert,70,HISPANIC
Albert,34,WHITE NON HISPANIC
Alberto,52,HISPANIC
Alec,22,WHITE NON HISPANIC
Aleena,86,ASIAN AND PACIFIC ISLANDER
Alejandra,60,HISPANIC
Alejandro,252,HISPANIC
Aleksandra,22,WHITE NON HISPANIC
Alessandra,48,HISPANIC
Alessandra,64,WHITE NON HISPANIC
Alessia,64,WHITE NON HISPANIC
Alex,180,ASIAN AND PACIFIC ISLANDER
Alex,32,BLACK NON HISPANIC
Alex,236,HISPANIC
Alex,124,WHITE NON HISPANIC
Alexa,256,HISPANIC
Alexa,180,WHITE NON HISPANIC
Alexander,220,ASIAN AND PACIFIC ISLANDER
Alexander,166,BLACK NON HISPANIC
Alexander,876,HISPANIC
Alexander,862,WHITE NON HISPANIC
Alexandra,44,ASIAN AND PACIFIC ISLANDER
Alexandra,22,BLACK NON HISPANIC
Alexandra,122,HISPANIC
Alexandra,364,WHITE NON HISPANIC
Alexandria,20,BLACK NON HISPANIC
Alexia,74,HISPANIC
Alexia,20,WHITE NON HISPANIC
Alexis,50,BLACK NON HISPANIC
Alexis,190,HISPANIC
Alexis,96,WHITE NON HISPANIC
Alfred,36,ASIAN AND PACIFIC ISLANDER
Alfredo,24,HISPANIC
Ali,86,ASIAN AND PACIFIC ISLANDER
Ali,20,BLACK NON HISPANIC
Ali,182,WHITE NON HISPANIC
Alice,118,ASIAN AND PACIFIC ISLANDER
Alice,62,HISPANIC
Alice,222,WHITE NON HISPANIC
Alicia,24,ASIAN AND PACIFIC ISLANDER
Alicia,66,HISPANIC
Alina,146,ASIAN AND PACIFIC ISLANDER
Alina,98,HISPANIC
Alina,68,WHITE NON HISPANIC
Alisa,22,ASIAN AND PACIFIC ISLANDER
Alisa,48,WHITE NON HISPANIC
Alisha,22,ASIAN AND PACIFIC ISLANDER
Alison,78,HISPANIC
Alissa,20,HISPANIC
Alisson,22,HISPANIC
Aliyah,74,BLACK NON HISPANIC
