Child's First Name,Ethnicity,Summation of Counts
Mandy,ASIAN AND PACIFIC ISLANDER,22
Manha,ASIAN AND PACIFIC ISLANDER,28
Manuel,HISPANIC,114
Marc,WHITE NON HISPANIC,58
Marcel,WHITE NON HISPANIC,20
Marcelo,HISPANIC,24
Marco,HISPANIC,92
Marco,WHITE NON HISPANIC,66
Marcos,HISPANIC,56
Marcus,ASIAN AND PACIFIC ISLANDER,104
Marcus,BLACK NON HISPANIC,72
Marcus,HISPANIC,74
Marcus,WHITE NON HISPANIC,70
Margaret,WHITE NON HISPANIC,116
Margaux,WHITE NON HISPANIC,24
Margot,WHITE NON HISPANIC,70
Maria,HISPANIC,212
Maria,WHITE NON HISPANIC,192
Mariah,BLACK NON HISPANIC,100
Mariah,HISPANIC,44
Mariam,BLACK NON HISPANIC,158
Mariam,WHITE NON HISPANIC,100
Mariama,BLACK NON HISPANIC,72
Mariana,HISPANIC,64
Marielle,WHITE NON HISPANIC,22
Marilyn,HISPANIC,66
Mario,HISPANIC,70
Marjorie,HISPANIC,60
Mark,ASIAN AND PACIFIC ISLANDER,20
Mark,HISPANIC,52
Mark,WHITE NON HISPANIC,206
Marlon,HISPANIC,42
Martin,ASIAN AND PACIFIC ISLANDER,20
Martin,HISPANIC,66
Martin,WHITE NON HISPANIC,120
Marvin,HISPANIC,40
Mary,WHITE NON HISPANIC,100
Maryam,ASIAN AND PACIFIC ISLANDER,82
Maryam,BLACK NON HISPANIC,20
Maryam,WHITE NON HISPANIC,68
Mason,ASIAN AND PACIFIC ISLANDER,238
Mason,BLACK NON HISPANIC,412
Mason,HISPANIC,766
Mason,WHITE NON HISPANIC,356
Massimo,WHITE NON HISPANIC,24
Mateo,HISPANIC,250
Mateo,WHITE NON HISPANIC,80
Mathew,HISPANIC,70
Mathias,HISPANIC,60
Matias,HISPANIC,104
Matilda,WHITE NON HISPANIC,72
Matteo,HISPANIC,62
Matteo,WHITE NON HISPANIC,104
Matthew,ASIAN AND PACIFIC ISLANDER,278
Matthew,BLACK NON HISPANIC,216
Matthew,HISPANIC,1020
Matthew,WHITE NON HISPANIC,572
Mauricio,HISPANIC,20
Max,ASIAN AND PACIFIC ISLANDER,98
Max,HISPANIC,96
Max,WHITE NON HISPANIC,430
Maxim,WHITE NON HISPANIC,104
Maximilian,ASIAN AND PACIFIC ISLANDER,20
Maximilian,HISPANIC,46
Maximilian,WHITE NON HISPANIC,96
Maximiliano,HISPANIC,52
Maximo,HISPANIC,20
Maximus,HISPANIC,96
Maximus,WHITE NON HISPANIC,32
Maxwell,ASIAN AND PACIFIC ISLANDER,68
Maxwell,BLACK NON HISPANIC,22
Maxwell,HISPANIC,64
Maxwell,WHITE NON HISPANIC,200
Maya,ASIAN AND PACIFIC ISLANDER,96
Maya,BLACK NON HISPANIC,116
Maya,HISPANIC,156
Maya,WHITE NON HISPANIC,456
Mayer,WHITE NON HISPANIC,114
Mayson,HISPANIC,22
McKenzie,BLACK NON HISPANIC,94
Md,ASIAN AND PACIFIC ISLANDER,22
Megan,ASIAN AND PACIFIC ISLANDER,54
Megan,HISPANIC,42
Megan,WHITE NON HISPANIC,24
Meilech,WHITE NON HISPANIC,50
Meir,WHITE NON HISPANIC,212
Mekhi,BLACK NON HISPANIC,80
Melanie,BLACK NON HISPANIC,48
Melanie,HISPANIC,398
Melanie,WHITE NON HISPANIC,56
Melany,HISPANIC,130
Melina,HISPANIC,68
Melissa,HISPANIC,142
Melody,ASIAN AND PACIFIC ISLANDER,94
Melody,BLACK NON HISPANIC,24
Melody,HISPANIC,100
Melvin,HISPANIC,48
Menachem,WHITE NON HISPANIC,380
Menashe,WHITE NON HISPANIC,24
Mendel,WHITE NON HISPANIC,152
Mendy,WHITE NON HISPANIC,56
Menucha,WHITE NON HISPANIC,26
Messiah,BLACK NON HISPANIC,184
Messiah,HISPANIC,34
Meyer,WHITE NON HISPANIC,30
Mia,ASIAN AND PACIFIC ISLANDER,244
Mia,BLACK NON HISPANIC,200
Mia,HISPANIC,984
Mia,WHITE NON HISPANIC,546
Micah,BLACK NON HISPANIC,130
Micah,WHITE NON HISPANIC,68
Michael,ASIAN AND PACIFIC ISLANDER,154
Michael,BLACK NON HISPANIC,330
Michael,HISPANIC,660
Michael,WHITE NON HISPANIC,1068
Michaela,WHITE NON HISPANIC,26
Michal,WHITE NON HISPANIC,20
Michelle,ASIAN AND PACIFIC ISLANDER,96
Michelle,BLACK NON HISPANIC,82
Michelle,HISPANIC,184
Michelle,WHITE NON HISPANIC,106
Miguel,HISPANIC,298
Mikaela,HISPANIC,22
Mikayla,BLACK NON HISPANIC,34
Mikayla,WHITE NON HISPANIC,58
Mike,HISPANIC,58
Mila,ASIAN AND PACIFIC ISLANDER,50
Mila,BLACK NON HISPANIC,22
Mila,HISPANIC,164
Mila,WHITE NON HISPANIC,238
Milan,BLACK NON HISPANIC,108
Milan,HISPANIC,112
Milan,WHITE NON HISPANIC,24
Milana,WHITE NON HISPANIC,76
Miles,ASIAN AND PACIFIC ISLANDER,62
Miles,BLACK NON HISPANIC,26
Miles,HISPANIC,26
Miles,WHITE NON HISPANIC,220
Miley,HISPANIC,26
Milo,WHITE NON HISPANIC,96
Mina,WHITE NON HISPANIC,50
Mindy,WHITE NON HISPANIC,106
Mira,WHITE NON HISPANIC,60
Miracle,BLACK NON HISPANIC,64
Miranda,ASIAN AND PACIFIC ISLANDER,54
Miranda,HISPANIC,58
Mirel,WHITE NON HISPANIC,66
Miri,WHITE NON HISPANIC,24
Miriam,HISPANIC,22
Miriam,WHITE NON HISPANIC,606
Misael,HISPANIC,20
Mohamed,BLACK NON HISPANIC,164
Mohamed,WHITE NON HISPANIC,178
Mohammad,ASIAN AND PACIFIC ISLANDER,216
Mohammad,WHITE NON HISPANIC,42
Mohammed,ASIAN AND PACIFIC ISLANDER,106
Mohammed,BLACK NON HISPANIC,24
Mohammed,WHITE NON HISPANIC,104
Moises,HISPANIC,56
Moishe,WHITE NON HISPANIC,72
Molly,WHITE NON HISPANIC,136
Monica,HISPANIC,24
Monserrat,HISPANIC,20
Montserrat,HISPANIC,30
Mordche,WHITE NON HISPANIC,20
Mordechai,WHITE NON HISPANIC,342
Morgan,BLACK NON HISPANIC,126
Morgan,WHITE NON HISPANIC,60
Morris,WHITE NON HISPANIC,48
Moses,WHITE NON HISPANIC,114
Moshe,WHITE NON HISPANIC,1058
Mouhamed,BLACK NON HISPANIC,44
Moussa,BLACK NON HISPANIC,70
Muhammad,ASIAN AND PACIFIC ISLANDER,480
Muhammad,BLACK NON HISPANIC,28
Muhammad,WHITE NON HISPANIC,74
Musa,ASIAN AND PACIFIC ISLANDER,22
Musa,BLACK NON HISPANIC,20
Mushka,WHITE NON HISPANIC,48
Mya,BLACK NON HISPANIC,96
Mya,HISPANIC,108
Myles,BLACK NON HISPANIC,44
Myles,HISPANIC,22
Myles,WHITE NON HISPANIC,40
NACHMAN,WHITE NON HISP,34
NAFTALI,WHITE NON HISP,48
NAOMI,BLACK NON HISP,66
NAOMI,HISPANIC,70
NAOMI,WHITE NON HISP,60
NASIR,BLACK NON HISP,64
NATALIA,HISPANIC,72
NATALIA,WHITE NON HISP,34
NATALIE,ASIAN AND PACI,58
NATALIE,HISPANIC,78
NATALIE,WHITE NON HISP,92
NATALY,HISPANIC,30
NATASHA,HISPANIC,48
NATHALIA,HISPANIC,20
NATHALIE,HISPANIC,38
NATHALY,HISPANIC,32
NATHAN,ASIAN AND PACI,74
NATHAN,BLACK NON HISP,96
NATHAN,HISPANIC,152
NATHAN,WHITE NON HISP,152
NATHANAEL,BLACK NON HISP,26
NATHANIEL,ASIAN AND PACI,48
NATHANIEL,BLACK NON HISP,112
NATHANIEL,HISPANIC,128
NATHANIEL,WHITE NON HISP,118
NAYELI,HISPANIC,44
NECHAMA,WHITE NON HISP,50
NEIL,ASIAN AND PACI,20
NELSON,ASIAN AND PACI,24
NELSON,HISPANIC,30
NEVAEH,BLACK NON HISP,114
NEVAEH,HISPANIC,42
NEYMAR,HISPANIC,28
NIA,BLACK NON HISP,64
NICHOLAS,ASIAN AND PACI,70
NICHOLAS,BLACK NON HISP,78
NICHOLAS,HISPANIC,178
NICHOLAS,WHITE NON HISP,336
NICO,WHITE NON HISP,24
NICOLAS,HISPANIC,122
NICOLAS,WHITE NON HISP,58
NICOLE,ASIAN AND PACI,64
NICOLE,HISPANIC,116
NICOLE,WHITE NON HISP,96
NICOLETTE,WHITE NON HISP,28
NIKHIL,ASIAN AND PACI,30
NIKITA,WHITE NON HISP,22
NIKOLAS,WHITE NON HISP,20
NINA,ASIAN AND PACI,34
NINA,WHITE NON HISP,84
NOA,WHITE NON HISP,56
NOAH,ASIAN AND PACI,106
NOAH,BLACK NON HISP,190
NOAH,HISPANIC,324
NOAH,WHITE NON HISP,262
NOAM,WHITE NON HISP,28
NOEL,BLACK NON HISP,26
NOEL,HISPANIC,46
NOEMI,HISPANIC,26
NOLAN,WHITE NON HISP,36
NOOR,WHITE NON HISP,24
NORA,WHITE NON HISP,64
NOSSON,WHITE NON HISP,26
NYLA,BLACK NON HISP,94
NYLAH,BLACK NON HISP,62
NYLAH,HISPANIC,32
Nachman,WHITE NON HISPANIC,22
Nadia,BLACK NON HISPANIC,20
Nadia,WHITE NON HISPANIC,50
Naftali,WHITE NON HISPANIC,100
Naftuli,WHITE NON HISPANIC,58
Nahla,BLACK NON HISPANIC,50
Naomi,ASIAN AND PACIFIC ISLANDER,54
Naomi,BLACK NON HISPANIC,150
Naomi,HISPANIC,124
Naomi,WHITE NON HISPANIC,180
Nashla,HISPANIC,38
Nashley,HISPANIC,20
Nasir,BLACK NON HISPANIC,120
Natalia,HISPANIC,154
Natalia,WHITE NON HISPANIC,82
Natalie,ASIAN AND PACIFIC ISLANDER,82
Natalie,HISPANIC,138
Natalie,WHITE NON HISPANIC,170
Natasha,HISPANIC,30
Nathalie,HISPANIC,88
Nathaly,HISPANIC,70
Nathan,ASIAN AND PACIFIC ISLANDER,194
Nathan,BLACK NON HISPANIC,232
Nathan,HISPANIC,298
Nathan,WHITE NON HISPANIC,328
Nathaniel,ASIAN AND PACIFIC ISLANDER,88
Nathaniel,BLACK NON HISPANIC,186
Nathaniel,HISPANIC,208
Nathaniel,WHITE NON HISPANIC,188
Nayeli,HISPANIC,60
Nazir,BLACK NON HISPANIC,20
Nechama,WHITE NON HISPANIC,118
Nehemiah,BLACK NON HISPANIC,22
Neil,ASIAN AND PACIFIC ISLANDER,26
Nelson,HISPANIC,56
Nevaeh,BLACK NON HISPANIC,158
Nevaeh,HISPANIC,64
Neymar,HISPANIC,70
Nia,BLACK NON HISPANIC,130
Nicholas,ASIAN AND PACIFIC ISLANDER,118
Nicholas,BLACK NON HISPANIC,122
Nicholas,HISPANIC,402
Nicholas,WHITE NON HISPANIC,644
Nico,WHITE NON HISPANIC,46
Nicolas,HISPANIC,224
Nicolas,WHITE NON HISPANIC,120
Nicole,ASIAN AND PACIFIC ISLANDER,124
Nicole,HISPANIC,280
Nicole,WHITE NON HISPANIC,172
Nikita,WHITE NON HISPANIC,22
Nina,ASIAN AND PACIFIC ISLANDER,78
Nina,HISPANIC,42
Nina,WHITE NON HISPANIC,166
Noa,WHITE NON HISPANIC,98
Noah,ASIAN AND PACIFIC ISLANDER,188
Noah,BLACK NON HISPANIC,522
Noah,HISPANIC,998
Noah,WHITE NON HISPANIC,592
Noam,WHITE NON HISPANIC,88
Noel,BLACK NON HISPANIC,58
Noel,HISPANIC,116
Noelle,WHITE NON HISPANIC,26
Noemi,HISPANIC,26
Nolan,ASIAN AND PACIFIC ISLANDER,20
Nolan,BLACK NON HISPANIC,58
Nolan,WHITE NON HISPANIC,78
Noor,ASIAN AND PACIFIC ISLANDER,26
Noor,WHITE NON HISPANIC,30
Nora,WHITE NON HISPANIC,246
Norah,WHITE NON HISPANIC,30
Nosson,WHITE NON HISPANIC,22
Nova,BLACK NON HISPANIC,22
Nyah,HISPANIC,20
Nyla,BLACK NON HISPANIC,142
Nyla,HISPANIC,66
Nylah,BLACK NON HISPANIC,120
Nylah,HISPANIC,64
OLIVE,WHITE NON HISP,36
OLIVER,ASIAN AND PACI,54
OLIVER,HISPANIC,86
OLIVER,WHITE NON HISP,224
OLIVIA,ASIAN AND PACI,264
OLIVIA,BLACK NON HISP,116
OLIVIA,HISPANIC,154
OLIVIA,WHITE NON HISP,396
OMAR,BLACK NON HISP,28
OMAR,HISPANIC,50
OMAR,WHITE NON HISP,92
OMARI,BLACK NON HISP,34
OSCAR,ASIAN AND PACI,34
OSCAR,HISPANIC,76
OSCAR,WHITE NON HISP,54
OUMAR,BLACK NON HISP,34
OUMOU,BLACK NON HISP,26
OWEN,ASIAN AND PACI,108
OWEN,WHITE NON HISP,138
Olive,WHITE NON HISPANIC,76
Oliver,ASIAN AND PACIFIC ISLANDER,172
Oliver,HISPANIC,138
Oliver,WHITE NON HISPANIC,460
Olivia,ASIAN AND PACIFIC ISLANDER,500
Olivia,BLACK NON HISPANIC,232
Olivia,HISPANIC,366
Olivia,WHITE NON HISPANIC,962
Omar,ASIAN AND PACIFIC ISLANDER,20
Omar,BLACK NON HISPANIC,80
Omar,HISPANIC,102
Omar,WHITE NON HISPANIC,214
Omari,BLACK NON HISPANIC,26
Ori,WHITE NON HISPANIC,22
Orion,WHITE NON HISPANIC,20
Orlando,HISPANIC,20
Oscar,ASIAN AND PACIFIC ISLANDER,128
Oscar,HISPANIC,126
Oscar,WHITE NON HISPANIC,136
Otto,WHITE NON HISPANIC,32
Oumar,BLACK NON HISPANIC,64
Oumou,BLACK NON HISPANIC,80
Ousmane,BLACK NON HISPANIC,26
Owen,ASIAN AND PACIFIC ISLANDER,204
Owen,BLACK NON HISPANIC,20
Owen,HISPANIC,50
Owen,WHITE NON HISPANIC,320
PABLO,HISPANIC,32
PAIGE,BLACK NON HISP,50
PAIGE,WHITE NON HISP,32
PAOLA,HISPANIC,26
PARIS,BLACK NON HISP,58
PARIS,HISPANIC,32
PARKER,WHITE NON HISP,44
PATRICK,ASIAN AND PACI,32
PATRICK,WHITE NON HISP,64
PAUL,BLACK NON HISP,26
PAUL,HISPANIC,24
PAUL,WHITE NON HISP,56
PAULA,HISPANIC,20
PEARL,WHITE NON HISP,62
PEDRO,HISPANIC,38
PENELOPE,ASIAN AND PACI,20
PENELOPE,HISPANIC,34
PENELOPE,WHITE NON HISP,108
PEREL,WHITE NON HISP,26
PERL,WHITE NON HISP,24
PERLA,HISPANIC,44
PERRY,WHITE NON HISP,34
PESSY,WHITE NON HISP,54
PETER,HISPANIC,26
PETER,WHITE NON HISP,92
PEYTON,BLACK NON HISP,96
PEYTON,HISPANIC,32
PEYTON,WHITE NON HISP,22
PHILIP,WHITE NON HISP,46
PHOEBE,ASIAN AND PACI,44
PHOEBE,WHITE NON HISP,40
PHOENIX,BLACK NON HISP,22
PINCHAS,WHITE NON HISP,26
PINCHUS,WHITE NON HISP,26
PIPER,WHITE NON HISP,36
POLINA,WHITE NON HISP,24
PRESTON,BLACK NON HISP,24
PRESTON,HISPANIC,28
PRESTON,WHITE NON HISP,26
PRINCE,BLACK NON HISP,98
PRINCE,HISPANIC,44
PRINCESS,BLACK NON HISP,22
Pablo,HISPANIC,74
Paige,BLACK NON HISPANIC,110
Paige,HISPANIC,28
Paige,WHITE NON HISPANIC,78
Pamela,HISPANIC,26
Paris,BLACK NON HISPANIC,98
Paris,HISPANIC,44
Parker,WHITE NON HISPANIC,150
Patrick,BLACK NON HISPANIC,20
Patrick,HISPANIC,32
Patrick,WHITE NON HISPANIC,206
Paul,BLACK NON HISPANIC,28
Paul,HISPANIC,24
Paul,WHITE NON HISPANIC,110
Paula,HISPANIC,20
Payton,BLACK NON HISPANIC,34
Pearl,WHITE NON HISPANIC,108
Pedro,HISPANIC,72
Penelope,ASIAN AND PACIFIC ISLANDER,52
Penelope,BLACK NON HISPANIC,20
Penelope,HISPANIC,214
Penelope,WHITE NON HISPANIC,244
Perel,WHITE NON HISPANIC,38
Perl,WHITE NON HISPANIC,60
Perry,WHITE NON HISPANIC,26
Pessy,WHITE NON HISPANIC,118
Peter,HISPANIC,66
Peter,WHITE NON HISPANIC,238
Peyton,BLACK NON HISPANIC,190
Peyton,HISPANIC,66
Peyton,WHITE NON HISPANIC,64
Philip,WHITE NON HISPANIC,102
Phoebe,ASIAN AND PACIFIC ISLANDER,26
Phoebe,WHITE NON HISPANIC,102
Phoenix,BLACK NON HISPANIC,44
Pinchas,WHITE NON HISPANIC,52
Pinchus,WHITE NON HISPANIC,22
Piper,WHITE NON HISPANIC,72
Poppy,WHITE NON HISPANIC,50
Precious,BLACK NON HISPANIC,20
Preston,BLACK NON HISPANIC,76
Preston,HISPANIC,20
Preston,WHITE NON HISPANIC,62
Prince,BLACK NON HISPANIC,128
Prince,HISPANIC,74
Princess,BLACK NON HISPANIC,22
Princeton,BLACK NON HISPANIC,24
Priscilla,ASIAN AND PACIFIC ISLANDER,20
QUEENIE,ASIAN AND PACI,40
QUINN,WHITE NON HISP,64
Queena,ASIAN AND PACIFIC ISLANDER,22
Queenie,ASIAN AND PACIFIC ISLANDER,58
Quincy,BLACK NON HISPANIC,30
Quinn,WHITE NON HISPANIC,140
RACHEL,ASIAN AND PACI,48
RACHEL,HISPANIC,44
RACHEL,WHITE NON HISP,372
RAFAEL,HISPANIC,66
RAFAEL,WHITE NON HISP,72
RAIZEL,WHITE NON HISP,34
RAIZY,WHITE NON HISP,104
RANDY,HISPANIC,88
RAPHAEL,WHITE NON HISP,36
RAQUEL,WHITE NON HISP,24
RAUL,HISPANIC,30
RAYAN,ASIAN AND PACI,40
RAYAN,WHITE NON HISP,32
RAYMOND,ASIAN AND PACI,64
RAYMOND,HISPANIC,56
RAYMOND,WHITE NON HISP,40
RAYYAN,ASIAN AND PACI,24
REAGAN,WHITE NON HISP,44
REBECCA,ASIAN AND PACI,28
REBECCA,HISPANIC,36
REBECCA,WHITE NON HISP,90
REED,WHITE NON HISP,22
REEM,WHITE NON HISP,20
REESE,WHITE NON HISP,50
REHAN,ASIAN AND PACI,22
REID,WHITE NON HISP,28
REUVEN,WHITE NON HISP,28
RICARDO,HISPANIC,56
RICHARD,ASIAN AND PACI,72
RICHARD,BLACK NON HISP,30
RICHARD,HISPANIC,82
RICHARD,WHITE NON HISP,58
RICKY,ASIAN AND PACI,24
RIFKY,WHITE NON HISP,28
RIHANNA,HISPANIC,26
RILEY,ASIAN AND PACI,20
RILEY,BLACK NON HISP,74
RILEY,HISPANIC,26
RILEY,WHITE NON HISP,80
RIVKA,WHITE NON HISP,192
RIVKY,WHITE NON HISP,100
ROBERT,BLACK NON HISP,46
ROBERT,HISPANIC,50
ROBERT,WHITE NON HISP,156
ROBERTO,HISPANIC,36
ROCCO,WHITE NON HISP,36
ROCHEL,WHITE NON HISP,40
RODRIGO,HISPANIC,24
ROHAN,ASIAN AND PACI,40
ROIZY,WHITE NON HISP,22
ROMAN,HISPANIC,20
ROMAN,WHITE NON HISP,32
ROMEO,HISPANIC,30
RONALD,HISPANIC,26
RONAN,WHITE NON HISP,24
RORY,WHITE NON HISP,30
ROSA,HISPANIC,26
ROSA,WHITE NON HISP,30
ROSE,WHITE NON HISP,72
ROSELYN,HISPANIC,30
ROSIE,WHITE NON HISP,20
ROWAN,WHITE NON HISP,24
ROY,ASIAN AND PACI,30
RUBEN,HISPANIC,24
RUBY,HISPANIC,34
RUBY,WHITE NON HISP,76
RUCHY,WHITE NON HISP,44
RUTH,HISPANIC,26
RUTH,WHITE NON HISP,34
RYAN,ASIAN AND PACI,394
RYAN,BLACK NON HISP,142
RYAN,HISPANIC,252
RYAN,WHITE NON HISP,356
Rachel,ASIAN AND PACIFIC ISLANDER,112
Rachel,HISPANIC,44
Rachel,WHITE NON HISPANIC,808
Rafael,HISPANIC,106
Rafael,WHITE NON HISPANIC,88
Raina,ASIAN AND PACIFIC ISLANDER,44
Raizel,WHITE NON HISPANIC,60
Raizy,WHITE NON HISPANIC,298
Randy,HISPANIC,96
Raphael,WHITE NON HISPANIC,102
Raquel,HISPANIC,20
Raul,HISPANIC,44
Rayan,ASIAN AND PACIFIC ISLANDER,60
Rayan,WHITE NON HISPANIC,82
Raymond,ASIAN AND PACIFIC ISLANDER,110
Raymond,HISPANIC,54
Raymond,WHITE NON HISPANIC,60
Rayyan,ASIAN AND PACIFIC ISLANDER,48
Reagan,WHITE NON HISPANIC,30
Rebecca,ASIAN AND PACIFIC ISLANDER,62
Rebecca,HISPANIC,46
Rebecca,WHITE NON HISPANIC,174
Reed,WHITE NON HISPANIC,22
Reese,WHITE NON HISPANIC,80
Rehan,ASIAN AND PACIFIC ISLANDER,48
Reid,WHITE NON HISPANIC,62
Reizy,WHITE NON HISPANIC,20
Rena,WHITE NON HISPANIC,22
Renee,WHITE NON HISPANIC,20
Reuben,WHITE NON HISPANIC,22
Rhys,WHITE NON HISPANIC,44
Ricardo,HISPANIC,82
Richard,ASIAN AND PACIFIC ISLANDER,80
Richard,BLACK NON HISPANIC,70
Richard,HISPANIC,98
Richard,WHITE NON HISPANIC,98
Ricky,ASIAN AND PACIFIC ISLANDER,46
Rifky,WHITE NON HISPANIC,46
Rihanna,HISPANIC,28
Riley,ASIAN AND PACIFIC ISLANDER,40
Riley,BLACK NON HISPANIC,150
Riley,HISPANIC,138
Riley,WHITE NON HISPANIC,192
Rivka,WHITE NON HISPANIC,440
Rivky,WHITE NON HISPANIC,224
Riya,ASIAN AND PACIFIC ISLANDER,28
Robert,BLACK NON HISPANIC,62
Robert,HISPANIC,152
Robert,WHITE NON HISPANIC,306
Roberto,HISPANIC,74
Rocco,WHITE NON HISPANIC,52
Rochel,WHITE NON HISPANIC,140
Rodrigo,HISPANIC,56
Rohan,ASIAN AND PACIFIC ISLANDER,70
Roiza,WHITE NON HISPANIC,20
Roizy,WHITE NON HISPANIC,26
Roman,ASIAN AND PACIFIC ISLANDER,20
Roman,BLACK NON HISPANIC,20
Roman,WHITE NON HISPANIC,122
Romeo,HISPANIC,48
Romy,WHITE NON HISPANIC,20
Ronan,WHITE NON HISPANIC,62
Rory,WHITE NON HISPANIC,42
Rosa,WHITE NON HISPANIC,20
Rose,HISPANIC,84
Rose,WHITE NON HISPANIC,200
Rowan,WHITE NON HISPANIC,78
Roy,ASIAN AND PACIFIC ISLANDER,76
Ruben,HISPANIC,22
Ruby,HISPANIC,66
Ruby,WHITE NON HISPANIC,176
Ruchel,WHITE NON HISPANIC,20
Ruchy,WHITE NON HISPANIC,62
Ruth,HISPANIC,20
Ruth,WHITE NON HISPANIC,22
Ryan,ASIAN AND PACIFIC ISLANDER,652
Ryan,BLACK NON HISPANIC,200
Ryan,HISPANIC,432
Ryan,WHITE NON HISPANIC,548
Ryder,ASIAN AND PACIFIC ISLANDER,30
Ryder,WHITE NON HISPANIC,52
SABRINA,ASIAN AND PACI,44
SABRINA,HISPANIC,24
SABRINA,WHITE NON HISP,58
SADIE,WHITE NON HISP,72
SAGE,WHITE NON HISP,20
SALMA,WHITE NON HISP,30
SALOME,HISPANIC,20
SALVATORE,WHITE NON HISP,50
SAM,WHITE NON HISP,58
SAMANTHA,ASIAN AND PACI,68
SAMANTHA,BLACK NON HISP,36
SAMANTHA,HISPANIC,218
SAMANTHA,WHITE NON HISP,148
SAMARA,BLACK NON HISP,30
SAMI,WHITE NON HISP,20
SAMIR,BLACK NON HISP,24
SAMIR,WHITE NON HISP,20
SAMIYAH,BLACK NON HISP,24
SAMUEL,ASIAN AND PACI,72
SAMUEL,BLACK NON HISP,72
SAMUEL,HISPANIC,166
SAMUEL,WHITE NON HISP,396
SANAA,BLACK NON HISP,44
SANAI,BLACK NON HISP,38
SANDRA,HISPANIC,20
SANIYAH,BLACK NON HISP,32
SANTIAGO,HISPANIC,114
SARA,ASIAN AND PACI,48
SARA,HISPANIC,42
SARA,WHITE NON HISP,266
SARAH,ASIAN AND PACI,94
SARAH,BLACK NON HISP,58
SARAH,HISPANIC,86
SARAH,WHITE NON HISP,418
SARAI,BLACK NON HISP,32
SARAI,HISPANIC,38
SARIAH,BLACK NON HISP,30
SASHA,BLACK NON HISP,26
SASHA,WHITE NON HISP,26
SAUL,HISPANIC,24
SAVANNA,HISPANIC,22
SAVANNAH,ASIAN AND PACI,22
SAVANNAH,BLACK NON HISP,74
SAVANNAH,HISPANIC,82
SAVANNAH,WHITE NON HISP,44
SCARLET,HISPANIC,40
SCARLETT,HISPANIC,128
SCARLETT,WHITE NON HISP,86
SEAN,ASIAN AND PACI,46
SEAN,BLACK NON HISP,36
SEAN,HISPANIC,38
SEAN,WHITE NON HISP,82
SEBASTIAN,ASIAN AND PACI,34
SEBASTIAN,BLACK NON HISP,36
SEBASTIAN,HISPANIC,396
SEBASTIAN,WHITE NON HISP,148
SELENA,ASIAN AND PACI,44
SELENA,HISPANIC,30
SELINA,ASIAN AND PACI,82
SELMA,WHITE NON HISP,20
SERENA,ASIAN AND PACI,44
SERENITY,BLACK NON HISP,118
SERENITY,HISPANIC,108
SERGIO,HISPANIC,24
SHAINA,WHITE NON HISP,28
SHAINDY,WHITE NON HISP,142
SHALOM,WHITE NON HISP,26
SHANE,BLACK NON HISP,32
SHANE,WHITE NON HISP,48
SHARON,ASIAN AND PACI,28
SHAWN,BLACK NON HISP,42
SHAYA,WHITE NON HISP,52
SHAYAAN,ASIAN AND PACI,26
SHAYAN,ASIAN AND PACI,20
SHAYLA,BLACK NON HISP,20
SHEA,WHITE NON HISP,22
SHERLYN,HISPANIC,64
SHERRY,ASIAN AND PACI,26
SHIA,WHITE NON HISP,50
SHIFRA,WHITE NON HISP,38
SHIMON,WHITE NON HISP,186
SHIRA,WHITE NON HISP,32
SHIRLEY,ASIAN AND PACI,40
SHLOIME,WHITE NON HISP,24
SHLOIMY,WHITE NON HISP,32
SHLOMA,WHITE NON HISP,22
SHLOME,WHITE NON HISP,38
SHLOMO,WHITE NON HISP,106
SHMIEL,WHITE NON HISP,46
SHMUEL,WHITE NON HISP,98
SHNEUR,WHITE NON HISP,20
SHOLOM,WHITE NON HISP,24
SHOSHANA,WHITE NON HISP,30
SHULEM,WHITE NON HISP,72
SIENA,WHITE NON HISP,34
SIENNA,HISPANIC,32
SIENNA,WHITE NON HISP,78
SILAS,WHITE NON HISP,24
SIMA,WHITE NON HISP,30
SIMCHA,WHITE NON HISP,70
SIMON,WHITE NON HISP,110
SIMONE,WHITE NON HISP,40
SINCERE,BLACK NON HISP,20
SKYE,BLACK NON HISP,26
SKYLA,BLACK NON HISP,58
SKYLA,HISPANIC,32
SKYLAH,BLACK NON HISP,28
SKYLAR,BLACK NON HISP,86
SKYLAR,HISPANIC,32
SKYLAR,WHITE NON HISP,56
SKYLER,HISPANIC,22
SLOANE,WHITE NON HISP,38
SOFIA,ASIAN AND PACI,48
SOFIA,HISPANIC,330
SOFIA,WHITE NON HISP,200
SOLOMON,WHITE NON HISP,72
SONIA,WHITE NON HISP,20
SOPHIA,ASIAN AND PACI,288
SOPHIA,BLACK NON HISP,46
SOPHIA,HISPANIC,472
SOPHIA,WHITE NON HISP,396
SOPHIE,ASIAN AND PACI,80
SOPHIE,HISPANIC,32
SOPHIE,WHITE NON HISP,180
SPENCER,WHITE NON HISP,36
STACEY,HISPANIC,22
STACY,HISPANIC,26
STANLEY,ASIAN AND PACI,36
STELLA,ASIAN AND PACI,66
STELLA,HISPANIC,20
STELLA,WHITE NON HISP,148
STEPHANIE,ASIAN AND PACI,38
STEPHANIE,BLACK NON HISP,20
STEPHANIE,HISPANIC,96
STEPHEN,HISPANIC,26
STEPHEN,WHITE NON HISP,28
STEVE,HISPANIC,26
STEVEN,ASIAN AND PACI,56
STEVEN,BLACK NON HISP,24
STEVEN,HISPANIC,140
